block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_356088147,0,4385,0,0,105 Martin L. King Northbound,12659,4_merged_357925060,357897430,
a_356088260,0,4416,0,0,BHX-B Boulder Hwy Express Northbound,12836,13_merged_357925059,357899682,
a_356088133,0,4408,0,0,215 Bonanza Eastbound,12794,4_merged_357925060,357897437,
a_356088285,0,4416,0,0,BHX-A Boulder Hwy Express Northbound,12837,13_merged_357925059,357899680,
a_356088291,0,4416,0,0,BHX-A Boulder Hwy Express Northbound,12837,13_merged_357925059,357899681,
a_356088270,0,4416,0,0,BHX-B Boulder Hwy Express Northbound,12835,13_merged_357925059,357899686,
a_356088256,0,4416,0,0,BHX-A Boulder Hwy Express Northbound,12837,13_merged_357925059,357899687,
a_356088287,0,4416,0,0,BHX-B Boulder Hwy Express Northbound,12836,13_merged_357925059,357899684,
a_356088159,0,4408,0,0,215 Bonanza Eastbound,12794,4_merged_357925060,357897436,
b_356089515,0,4420,0,0,101 Rainbow Northbound,12863,4_merged_357925064,357915071,
b_356089597,0,4453,0,1,Deuce on The Strip Southbound,13058,2_merged_357925062,357920463,
b_356089598,0,4453,0,1,Deuce on The Strip Southbound,13058,2_merged_357925062,357920462,
a_356088152,0,4419,0,0,Downtown & Veteran Medical Center Express Northbound,12858,4_merged_357925060,357897590,
a_356088148,0,4419,0,0,Downtown & Veteran Medical Center Express Northbound,12858,4_merged_357925060,357897591,
a_356088133,0,4419,0,0,Downtown & Veteran Medical Center Express Northbound,12858,4_merged_357925060,357897592,
a_356088134,0,4419,0,0,Downtown & Veteran Medical Center Express Northbound,12858,4_merged_357925060,357897593,
a_356087964,0,4419,0,0,Downtown & Veteran Medical Center Express Northbound,12858,4_merged_357925060,357897594,
a_356088158,0,4419,0,0,Downtown & Veteran Medical Center Express Northbound,12858,4_merged_357925060,357897595,
a_356086999,0,4394,0,1,119 Simmons / Koval Southbound,12704,4_merged_357925060,357897596,
a_356088017,0,4394,0,1,119 Simmons / Koval Southbound,12705,4_merged_357925060,357897597,
a_356088139,0,4394,0,1,119 Simmons / Koval Southbound,12706,4_merged_357925060,357897598,
a_356088137,0,4394,0,1,119 Simmons / Koval Southbound,12705,4_merged_357925060,357897599,
a_356088132,0,4408,0,0,215 Bonanza Eastbound,12794,4_merged_357925060,357897439,
b_356089826,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918462,
b_356089829,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918463,
b_356089827,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918460,
b_356089828,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918461,
b_356089828,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918466,
b_356089831,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918467,
b_356089827,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918464,
b_356089830,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918465,
b_356089753,0,4454,0,0,401 N. Outlets / Symphony Park,13059,4_merged_357925064,357917166,
b_356089826,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918468,
b_356089829,0,4428,0,0,110 Eastern Northbound,12903,3_merged_357925061,357918469,
b_356089753,0,4454,0,0,401 N. Outlets / Symphony Park,13059,4_merged_357925064,357917167,
